Log file: C:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\scripts\results\logs\run_digits_optimizers_20260402_004945.log

===== Optimizer: sgd =====
[sgd] Epoch 0, Train Loss: 2.1388, Train Acc: 0.4032, Val Loss: 2.1400, Val Acc: 0.4028
[sgd] Epoch 10, Train Loss: 0.9294, Train Acc: 0.8818, Val Loss: 0.9297, Val Acc: 0.8563
[sgd] Epoch 20, Train Loss: 0.4925, Train Acc: 0.9376, Val Loss: 0.4969, Val Acc: 0.9239
[sgd] Epoch 30, Train Loss: 0.3338, Train Acc: 0.9488, Val Loss: 0.3410, Val Acc: 0.9521
[sgd] Epoch 40, Train Loss: 0.2580, Train Acc: 0.9572, Val Loss: 0.2675, Val Acc: 0.9521
[sgd] Epoch 50, Train Loss: 0.2141, Train Acc: 0.9655, Val Loss: 0.2260, Val Acc: 0.9549
[sgd] Epoch 60, Train Loss: 0.1853, Train Acc: 0.9739, Val Loss: 0.1999, Val Acc: 0.9606
[sgd] Epoch 70, Train Loss: 0.1645, Train Acc: 0.9758, Val Loss: 0.1826, Val Acc: 0.9606
[sgd] Epoch 80, Train Loss: 0.1488, Train Acc: 0.9749, Val Loss: 0.1698, Val Acc: 0.9606
[sgd] Epoch 90, Train Loss: 0.1366, Train Acc: 0.9795, Val Loss: 0.1605, Val Acc: 0.9606
[sgd] Epoch 100, Train Loss: 0.1264, Train Acc: 0.9832, Val Loss: 0.1530, Val Acc: 0.9662
[sgd] Epoch 110, Train Loss: 0.1180, Train Acc: 0.9851, Val Loss: 0.1478, Val Acc: 0.9662
[sgd] Epoch 120, Train Loss: 0.1107, Train Acc: 0.9851, Val Loss: 0.1430, Val Acc: 0.9662
[sgd] Epoch 130, Train Loss: 0.1044, Train Acc: 0.9870, Val Loss: 0.1391, Val Acc: 0.9662
[sgd] Epoch 140, Train Loss: 0.0989, Train Acc: 0.9879, Val Loss: 0.1364, Val Acc: 0.9718
[sgd] Epoch 150, Train Loss: 0.0941, Train Acc: 0.9879, Val Loss: 0.1333, Val Acc: 0.9690
[sgd] Epoch 160, Train Loss: 0.0898, Train Acc: 0.9879, Val Loss: 0.1312, Val Acc: 0.9690
[sgd] Epoch 170, Train Loss: 0.0859, Train Acc: 0.9879, Val Loss: 0.1291, Val Acc: 0.9690
[sgd] Epoch 180, Train Loss: 0.0822, Train Acc: 0.9879, Val Loss: 0.1276, Val Acc: 0.9662
[sgd] Epoch 190, Train Loss: 0.0790, Train Acc: 0.9888, Val Loss: 0.1265, Val Acc: 0.9662
[sgd] Epoch 200, Train Loss: 0.0760, Train Acc: 0.9888, Val Loss: 0.1252, Val Acc: 0.9690
[sgd] Epoch 210, Train Loss: 0.0734, Train Acc: 0.9888, Val Loss: 0.1244, Val Acc: 0.9662
[sgd] Epoch 220, Train Loss: 0.0707, Train Acc: 0.9888, Val Loss: 0.1230, Val Acc: 0.9662
[sgd] Epoch 230, Train Loss: 0.0684, Train Acc: 0.9916, Val Loss: 0.1225, Val Acc: 0.9634
[sgd] Epoch 240, Train Loss: 0.0662, Train Acc: 0.9916, Val Loss: 0.1214, Val Acc: 0.9634
[sgd] Epoch 250, Train Loss: 0.0641, Train Acc: 0.9926, Val Loss: 0.1211, Val Acc: 0.9634
[sgd] Epoch 260, Train Loss: 0.0622, Train Acc: 0.9935, Val Loss: 0.1201, Val Acc: 0.9662
[sgd] Epoch 270, Train Loss: 0.0605, Train Acc: 0.9935, Val Loss: 0.1203, Val Acc: 0.9662
[sgd] Epoch 280, Train Loss: 0.0588, Train Acc: 0.9935, Val Loss: 0.1192, Val Acc: 0.9662
[sgd] Epoch 290, Train Loss: 0.0571, Train Acc: 0.9944, Val Loss: 0.1186, Val Acc: 0.9634
[sgd] Epoch 300, Train Loss: 0.0556, Train Acc: 0.9944, Val Loss: 0.1181, Val Acc: 0.9634
[sgd] Epoch 310, Train Loss: 0.0542, Train Acc: 0.9953, Val Loss: 0.1180, Val Acc: 0.9634
[sgd] Epoch 320, Train Loss: 0.0529, Train Acc: 0.9963, Val Loss: 0.1175, Val Acc: 0.9634
[sgd] Epoch 330, Train Loss: 0.0517, Train Acc: 0.9963, Val Loss: 0.1174, Val Acc: 0.9606
[sgd] Epoch 340, Train Loss: 0.0505, Train Acc: 0.9953, Val Loss: 0.1166, Val Acc: 0.9634
[sgd] Epoch 350, Train Loss: 0.0493, Train Acc: 0.9963, Val Loss: 0.1168, Val Acc: 0.9606
[sgd] Epoch 360, Train Loss: 0.0483, Train Acc: 0.9963, Val Loss: 0.1160, Val Acc: 0.9606
[sgd] Epoch 370, Train Loss: 0.0473, Train Acc: 0.9963, Val Loss: 0.1161, Val Acc: 0.9634
[sgd] Epoch 380, Train Loss: 0.0463, Train Acc: 0.9963, Val Loss: 0.1157, Val Acc: 0.9634
[sgd] Epoch 390, Train Loss: 0.0454, Train Acc: 0.9963, Val Loss: 0.1152, Val Acc: 0.9606
[sgd] Epoch 400, Train Loss: 0.0445, Train Acc: 0.9963, Val Loss: 0.1151, Val Acc: 0.9606
[sgd] Epoch 410, Train Loss: 0.0437, Train Acc: 0.9972, Val Loss: 0.1150, Val Acc: 0.9662
[sgd] Epoch 420, Train Loss: 0.0429, Train Acc: 0.9972, Val Loss: 0.1147, Val Acc: 0.9662
[sgd] Epoch 430, Train Loss: 0.0421, Train Acc: 0.9972, Val Loss: 0.1147, Val Acc: 0.9634
[sgd] Epoch 440, Train Loss: 0.0414, Train Acc: 0.9972, Val Loss: 0.1144, Val Acc: 0.9634
[sgd] Epoch 450, Train Loss: 0.0407, Train Acc: 0.9972, Val Loss: 0.1141, Val Acc: 0.9634
[sgd] Epoch 460, Train Loss: 0.0401, Train Acc: 0.9972, Val Loss: 0.1141, Val Acc: 0.9634
[sgd] Epoch 470, Train Loss: 0.0395, Train Acc: 0.9981, Val Loss: 0.1140, Val Acc: 0.9634
[sgd] Epoch 480, Train Loss: 0.0389, Train Acc: 0.9981, Val Loss: 0.1137, Val Acc: 0.9662
[sgd] Epoch 490, Train Loss: 0.0383, Train Acc: 0.9981, Val Loss: 0.1135, Val Acc: 0.9662
sgd Best Epoch: 489
Train - Loss: 0.0384, Acc: 0.9981
Val   - Loss: 0.1132, Acc: 0.9634
Test  - Loss: 0.1796, Acc: 0.9457

===== Optimizer: momentum =====
[momentum] Epoch 0, Train Loss: 1.5591, Train Acc: 0.7579, Val Loss: 1.5541, Val Acc: 0.7634
[momentum] Epoch 10, Train Loss: 0.1228, Train Acc: 0.9814, Val Loss: 0.1511, Val Acc: 0.9690
[momentum] Epoch 20, Train Loss: 0.0764, Train Acc: 0.9916, Val Loss: 0.1267, Val Acc: 0.9662
[momentum] Epoch 30, Train Loss: 0.0552, Train Acc: 0.9935, Val Loss: 0.1216, Val Acc: 0.9662
[momentum] Epoch 40, Train Loss: 0.0443, Train Acc: 0.9972, Val Loss: 0.1176, Val Acc: 0.9718
[momentum] Epoch 50, Train Loss: 0.0378, Train Acc: 0.9981, Val Loss: 0.1131, Val Acc: 0.9690
[momentum] Epoch 60, Train Loss: 0.0332, Train Acc: 1.0000, Val Loss: 0.1115, Val Acc: 0.9662
[momentum] Epoch 70, Train Loss: 0.0306, Train Acc: 1.0000, Val Loss: 0.1103, Val Acc: 0.9634
[momentum] Epoch 80, Train Loss: 0.0288, Train Acc: 1.0000, Val Loss: 0.1099, Val Acc: 0.9690
[momentum] Epoch 90, Train Loss: 0.0274, Train Acc: 1.0000, Val Loss: 0.1105, Val Acc: 0.9662
[momentum] Epoch 100, Train Loss: 0.0264, Train Acc: 1.0000, Val Loss: 0.1107, Val Acc: 0.9634
[momentum] Epoch 110, Train Loss: 0.0256, Train Acc: 1.0000, Val Loss: 0.1087, Val Acc: 0.9634
[momentum] Epoch 120, Train Loss: 0.0250, Train Acc: 1.0000, Val Loss: 0.1118, Val Acc: 0.9634
[momentum] Epoch 130, Train Loss: 0.0245, Train Acc: 1.0000, Val Loss: 0.1100, Val Acc: 0.9634
[momentum] Epoch 140, Train Loss: 0.0242, Train Acc: 1.0000, Val Loss: 0.1112, Val Acc: 0.9634
[momentum] Epoch 150, Train Loss: 0.0239, Train Acc: 1.0000, Val Loss: 0.1110, Val Acc: 0.9634
[momentum] Epoch 160, Train Loss: 0.0236, Train Acc: 1.0000, Val Loss: 0.1098, Val Acc: 0.9634
[momentum] Epoch 170, Train Loss: 0.0234, Train Acc: 1.0000, Val Loss: 0.1110, Val Acc: 0.9634
[momentum] Epoch 180, Train Loss: 0.0233, Train Acc: 1.0000, Val Loss: 0.1111, Val Acc: 0.9634
[momentum] Epoch 190, Train Loss: 0.0231, Train Acc: 1.0000, Val Loss: 0.1104, Val Acc: 0.9634
[momentum] Epoch 200, Train Loss: 0.0230, Train Acc: 1.0000, Val Loss: 0.1107, Val Acc: 0.9634
[momentum] Epoch 210, Train Loss: 0.0229, Train Acc: 1.0000, Val Loss: 0.1103, Val Acc: 0.9634
[momentum] Epoch 220, Train Loss: 0.0228, Train Acc: 1.0000, Val Loss: 0.1110, Val Acc: 0.9634
[momentum] Epoch 230, Train Loss: 0.0227, Train Acc: 1.0000, Val Loss: 0.1109, Val Acc: 0.9634
[momentum] Epoch 240, Train Loss: 0.0226, Train Acc: 1.0000, Val Loss: 0.1110, Val Acc: 0.9634
[momentum] Epoch 250, Train Loss: 0.0225, Train Acc: 1.0000, Val Loss: 0.1107, Val Acc: 0.9634
[momentum] Epoch 260, Train Loss: 0.0225, Train Acc: 1.0000, Val Loss: 0.1101, Val Acc: 0.9634
[momentum] Epoch 270, Train Loss: 0.0224, Train Acc: 1.0000, Val Loss: 0.1107, Val Acc: 0.9634
[momentum] Epoch 280, Train Loss: 0.0223, Train Acc: 1.0000, Val Loss: 0.1097, Val Acc: 0.9634
[momentum] Epoch 290, Train Loss: 0.0223, Train Acc: 1.0000, Val Loss: 0.1107, Val Acc: 0.9634
[momentum] Epoch 300, Train Loss: 0.0222, Train Acc: 1.0000, Val Loss: 0.1101, Val Acc: 0.9634
[momentum] Epoch 310, Train Loss: 0.0222, Train Acc: 1.0000, Val Loss: 0.1102, Val Acc: 0.9662
[momentum] Epoch 320, Train Loss: 0.0221, Train Acc: 1.0000, Val Loss: 0.1101, Val Acc: 0.9634
