Log file: c:\Users\fgmz2\OneDrive\Documents\GitHub\Math4AI_Final_Project\starter_pack\scripts\results\logs\run_moons_ablation_20260402_215247.log

===== Moons Width Ablation: h = 2 =====
Epoch 0, Train Loss: 0.6214, Train Acc: 0.7542, Val Loss: 0.6128, Val Acc: 0.7750
Epoch 10, Train Loss: 0.4280, Train Acc: 0.8125, Val Loss: 0.3807, Val Acc: 0.8625
Epoch 20, Train Loss: 0.3572, Train Acc: 0.8375, Val Loss: 0.2929, Val Acc: 0.8625
Epoch 30, Train Loss: 0.3272, Train Acc: 0.8708, Val Loss: 0.2578, Val Acc: 0.8875
Epoch 40, Train Loss: 0.3140, Train Acc: 0.8625, Val Loss: 0.2423, Val Acc: 0.8750
Epoch 50, Train Loss: 0.3082, Train Acc: 0.8625, Val Loss: 0.2352, Val Acc: 0.8750
Epoch 60, Train Loss: 0.3056, Train Acc: 0.8625, Val Loss: 0.2313, Val Acc: 0.8750
Epoch 70, Train Loss: 0.3042, Train Acc: 0.8625, Val Loss: 0.2293, Val Acc: 0.8750
Epoch 80, Train Loss: 0.3035, Train Acc: 0.8625, Val Loss: 0.2279, Val Acc: 0.8750
Epoch 90, Train Loss: 0.3030, Train Acc: 0.8625, Val Loss: 0.2272, Val Acc: 0.8750
Epoch 100, Train Loss: 0.3026, Train Acc: 0.8625, Val Loss: 0.2264, Val Acc: 0.8875
Epoch 110, Train Loss: 0.3022, Train Acc: 0.8625, Val Loss: 0.2260, Val Acc: 0.8750
Epoch 120, Train Loss: 0.3020, Train Acc: 0.8625, Val Loss: 0.2257, Val Acc: 0.8750
Epoch 130, Train Loss: 0.3017, Train Acc: 0.8625, Val Loss: 0.2252, Val Acc: 0.8750
Epoch 140, Train Loss: 0.3015, Train Acc: 0.8625, Val Loss: 0.2249, Val Acc: 0.8875
Epoch 150, Train Loss: 0.3013, Train Acc: 0.8625, Val Loss: 0.2247, Val Acc: 0.8750
Epoch 160, Train Loss: 0.3011, Train Acc: 0.8625, Val Loss: 0.2246, Val Acc: 0.8750
Epoch 170, Train Loss: 0.3011, Train Acc: 0.8667, Val Loss: 0.2241, Val Acc: 0.8875
Epoch 180, Train Loss: 0.3008, Train Acc: 0.8750, Val Loss: 0.2241, Val Acc: 0.8750
